iter	Passed	Remaining
0	151	151746
1	156	78165
2	163	54303
3	168	42024
4	175	34930
5	184	30525
6	189	26876
7	196	24382
8	201	22160
9	211	20984
10	217	19594
11	226	18651
12	230	17482
13	234	16549
14	238	15641
15	240	14774
16	243	14052
17	246	13426
18	248	12844
19	252	12381
20	254	11856
21	255	11370
22	257	10928
23	258	10528
24	260	10163
25	262	9815
26	265	9565
27	267	9297
28	269	9008
29	270	8739
30	271	8482
31	272	8238
32	273	8008
33	274	7801
34	275	7602
35	276	7415
36	277	7231
37	280	7099
38	282	6953
39	283	6797
40	284	6646
41	285	6514
42	286	6383
43	287	6252
44	288	6127
45	289	6010
46	290	5899
47	291	5788
48	292	5685
49	294	5595
50	296	5521
51	297	5431
52	298	5341
53	299	5253
54	301	5172
55	301	5089
56	303	5014
57	304	4942
58	305	4868
59	306	4795
60	307	4729
61	308	4662
62	310	4618
63	312	4568
64	313	4508
65	314	4450
66	315	4393
67	316	4339
68	317	4284
69	319	4247
70	321	4200
71	322	4155
72	323	4106
73	325	4072
74	326	4030
75	327	3987
76	328	3942
77	329	3898
78	331	3860
79	332	3820
80	333	3779
81	334	3740
82	334	3696
83	335	3659
84	336	3622
85	337	3585
86	338	3550
87	340	3529
88	342	3504
89	343	3472
90	344	3440
91	345	3408
92	346	3378
93	347	3348
94	348	3324
95	350	3296
96	350	3266
97	351	3237
98	352	3210
99	353	3182
100	355	3163
101	357	3144
102	358	3120
103	359	3095
104	360	3071
105	361	3049
106	362	3028
107	364	3007
108	365	2986
109	366	2966
110	367	2943
111	368	2922
112	370	2908
113	372	2893
114	373	2872
115	374	2852
116	375	2830
117	376	2811
118	377	2792
119	378	2772
120	378	2753
121	380	2735
122	380	2716
123	381	2697
124	382	2679
125	383	2660
126	384	2645
127	387	2637
128	388	2620
129	388	2603
130	390	2587
131	390	2571
132	392	2556
133	393	2540
134	394	2524
135	395	2511
136	396	2500
137	397	2484
138	399	2471
139	401	2464
140	402	2454
141	403	2439
142	404	2425
143	405	2412
144	406	2398
145	407	2384
146	408	2370
147	409	2357
148	410	2344
149	411	2331
150	412	2318
151	413	2305
152	414	2292
153	415	2281
154	417	2274
155	418	2263
156	419	2252
157	420	2241
158	421	2230
159	422	2218
160	423	2205
161	424	2194
162	425	2182
163	425	2171
164	426	2160
165	428	2151
166	429	2140
167	430	2130
168	431	2122
169	432	2113
170	433	2102
171	434	2093
172	435	2083
173	436	2073
174	438	2065
175	439	2055
176	440	2045
177	441	2036
178	442	2027
179	443	2019
180	444	2009
181	446	2008
182	448	2003
183	449	1994
184	451	1987
185	452	1980
186	453	1972
187	454	1964
188	456	1956
189	456	1948
190	458	1940
191	459	1932
192	460	1923
193	461	1919
194	463	1914
195	464	1906
196	465	1898
197	466	1890
198	467	1882
199	469	1876
200	470	1869
201	471	1861
202	472	1853
203	473	1846
204	474	1838
205	475	1830
206	476	1826
207	478	1823
208	480	1817
209	481	1811
210	482	1805
211	483	1797
212	484	1790
213	485	1783
214	486	1776
215	487	1770
216	488	1763
217	489	1756
218	490	1749
219	492	1744
220	493	1739
221	494	1732
222	495	1725
223	496	1719
224	497	1712
225	498	1706
226	499	1700
227	500	1693
228	500	1686
229	502	1681
230	503	1675
231	504	1668
232	505	1662
233	507	1660
234	508	1655
235	509	1649
236	510	1643
237	511	1636
238	512	1630
239	512	1624
240	513	1618
241	514	1613
242	515	1607
243	517	1602
244	517	1596
245	519	1591
246	520	1585
247	521	1580
248	523	1577
249	524	1572
250	525	1567
251	526	1561
252	527	1556
253	528	1551
254	529	1546
255	530	1541
256	531	1536
257	532	1532
258	533	1527
259	534	1522
260	535	1516
261	537	1512
262	539	1510
263	540	1505
264	541	1500
265	542	1496
266	543	1492
267	545	1488
268	546	1483
269	546	1478
270	548	1474
271	549	1469
272	549	1464
273	550	1459
274	552	1456
275	554	1453
276	555	1449
277	556	1444
278	557	1440
279	559	1438
280	560	1433
281	561	1429
282	562	1425
283	563	1420
284	564	1416
285	565	1412
286	566	1408
287	569	1408
288	570	1404
289	571	1400
290	572	1395
291	574	1392
292	575	1388
293	576	1385
294	577	1380
295	579	1377
296	580	1373
297	581	1370
298	583	1368
299	585	1365
300	586	1360
301	586	1356
302	587	1352
303	588	1348
304	590	1344
305	592	1342
306	593	1340
307	595	1337
